work_year,experience_level,type,job_title,salary,employee_residence,company_location,company_size
2023,SE,FT,Principal Data Scientist,85847,ES,ES,L
2023,MI,CT,ML Engineer,30000,US,US,S
2023,MI,CT,ML Engineer,25500,US,US,S
2023,SE,FT,Data Scientist,175000,CA,CA,M
2023,SE,FT,Data Scientist,120000,CA,CA,M
2023,SE,FT,Applied Scientist,222200,US,US,L
2023,SE,FT,Applied Scientist,136000,US,US,L
2023,SE,FT,Data Scientist,219000,CA,CA,M
2023,SE,FT,Data Scientist,141000,CA,CA,M
2023,SE,FT,Data Scientist,147100,US,US,M
2023,SE,FT,Data Scientist,90700,US,US,M
2023,SE,FT,Data Analyst,130000,US,US,M
2023,SE,FT,Data Analyst,100000,US,US,M
2023,EN,FT,Applied Scientist,213660,US,US,L
2023,EN,FT,Applied Scientist,130760,US,US,L
2023,SE,FT,Data Modeler,147100,US,US,M
2023,SE,FT,Data Modeler,90700,US,US,M
2023,SE,FT,Data Scientist,170000,US,US,M
2023,SE,FT,Data Scientist,150000,US,US,M
2023,MI,FT,Data Analyst,150000,US,US,M
2023,MI,FT,Data Analyst,110000,US,US,M
2023,SE,FT,Research Engineer,275000,DE,DE,M
2023,SE,FT,Research Engineer,174000,DE,DE,M
2023,SE,FT,Analytics Engineer,230000,GB,GB,M
2023,SE,FT,Analytics Engineer,143200,GB,GB,M
2023,SE,FT,Business Intelligence Engineer,225000,US,US,M
2023,SE,FT,Business Intelligence Engineer,156400,US,US,M
2023,SE,FT,Machine Learning Engineer,200000,US,US,M
2023,SE,FT,Machine Learning Engineer,130000,US,US,M
2023,SE,FT,Data Strategist,90000,CA,CA,M
2023,SE,FT,Data Strategist,72000,CA,CA,M
2023,SE,FT,Data Engineer,253200,US,US,M
2023,SE,FT,Data Engineer,90700,US,US,M
2023,SE,FT,Computer Vision Engineer,342810,US,US,M
2023,SE,FT,Computer Vision Engineer,184590,US,US,M
2023,MI,FT,Data Engineer,162500,US,US,M
2023,MI,FT,Data Engineer,130000,US,US,M
2023,MI,FT,Data Analyst,105380,US,US,M
2023,MI,FT,Data Analyst,64500,US,US,M
2023,EN,FT,Data Quality Analyst,100000,NG,NG,L
2023,EN,FT,Compliance Data Analyst,30000,NG,NG,L
2022,MI,FT,Machine Learning Engineer,20984,IN,IN,L
2023,EN,FT,Applied Scientist,204620,US,US,L
2023,EN,FT,Applied Scientist,110680,US,US,L
2023,SE,FT,Data Engineer,270703,US,US,M
2023,SE,FT,Data Engineer,221484,US,US,M
2023,SE,FT,Data Scientist,212750,US,US,M
2023,SE,FT,Data Scientist,185000,US,US,M
2023,SE,FT,Data Scientist,262000,US,US,M
2023,SE,FT,Data Scientist,245000,US,US,M
2023,SE,FT,Data Scientist,275300,US,US,M
2023,SE,FT,Data Scientist,183500,US,US,M
2023,SE,FT,Data Scientist,218500,US,US,M
2023,SE,FT,Data Scientist,199098,US,US,M
2023,SE,FT,Data Engineer,203300,US,US,M
2023,SE,FT,Data Engineer,123600,US,US,M
2023,SE,FT,Research Engineer,189110,US,US,M
2023,SE,FT,Research Engineer,139000,US,US,M
2023,EX,FT,Data Scientist,258750,US,US,M
2023,EX,FT,Data Scientist,185000,US,US,M
2023,SE,FT,Data Engineer,231500,US,US,M
2023,SE,FT,Data Engineer,166000,US,US,M
2023,SE,FT,Data Scientist,172500,US,US,M
2023,SE,FT,Data Scientist,110500,US,US,M
2023,SE,FT,Data Engineer,238000,US,US,M
2023,SE,FT,Data Engineer,176000,US,US,M
2023,SE,FT,Data Engineer,237000,US,US,M
2023,SE,FT,Data Engineer,201450,US,US,M
2023,SE,FT,Applied Scientist,309400,US,US,L
2023,SE,FT,Applied Scientist,159100,US,US,L
2023,SE,FT,Data Engineer,115000,US,US,M
2023,SE,FT,Data Engineer,81500,US,US,M
2023,SE,FT,Data Scientist,237000,US,US,M
2023,SE,FT,Data Scientist,201450,US,US,M
2023,SE,FT,Computer Vision Engineer,280000,US,US,M
2023,SE,FT,Computer Vision Engineer,210000,US,US,M
2023,SE,FT,Data Architect,280100,US,US,M
2023,SE,FT,Data Architect,168100,US,US,M
2023,SE,FT,Data Engineer,193500,US,US,M
2023,SE,FT,Data Engineer,139000,US,US,M
2023,MI,FT,Data Scientist,65062,HK,HK,L
2023,SE,FT,Machine Learning Engineer,150000,PT,US,M
2023,MI,FT,Applied Machine Learning Engineer,69751,IN,DE,S
2022,EN,FT,AI Developer,300000,IN,IN,L
2023,MI,FT,Machine Learning Engineer,96578,NL,NL,L
2023,SE,FT,Business Intelligence Engineer,185900,US,US,M
2023,SE,FT,Business Intelligence Engineer,129300,US,US,M
2023,SE,FT,Data Engineer,225000,US,US,M
2023,SE,FT,Data Engineer,175000,US,US,M
2023,SE,FT,Data Engineer,185000,US,US,M
2023,SE,FT,Data Engineer,140000,US,US,M
2023,SE,FT,Data Scientist,48289,ES,ES,M
2023,SE,FT,Data Scientist,38631,ES,ES,M
2023,SE,FT,Data Scientist,105000,US,US,M
2023,SE,FT,Data Scientist,70000,US,US,M
2023,EN,FT,Machine Learning Engineer,163196,US,US,M
2023,EN,FT,Machine Learning Engineer,145885,US,US,M
2023,SE,FT,Data Engineer,217000,US,US,M
2023,SE,FT,Data Engineer,185000,US,US,M
2023,SE,FT,Data Analyst,202800,US,US,L
2023,SE,FT,Data Analyst,104300,US,US,L
2023,SE,FT,Data Analyst,145000,US,US,M
2023,SE,FT,Data Analyst,65000,US,US,M
2023,SE,FT,Data Engineer,165000,US,US,M
2023,SE,FT,Data Engineer,132300,US,US,M
2023,SE,FT,Data Engineer,179170,US,US,M
2023,SE,FT,Data Engineer,94300,US,US,M
2023,SE,FT,Analytics Engineer,152500,US,US,M
2023,SE,FT,Analytics Engineer,116450,US,US,M
2023,SE,FT,Data Engineer,247300,US,US,M
2023,SE,FT,Data Engineer,133800,US,US,M
2023,SE,FT,Research Engineer,203000,US,US,M
2023,SE,FT,Research Engineer,133000,US,US,M
2023,EN,FT,Research Scientist,220000,US,US,L
2022,EN,FT,Machine Learning Engineer,56536,CH,CH,S
2023,SE,FT,Data Scientist,150000,US,US,M
2023,SE,FT,Data Scientist,120000,US,US,M
2023,SE,FT,Analytics Engineer,289800,US,US,M
2023,SE,FT,Analytics Engineer,214000,US,US,M
2023,SE,FT,Analytics Engineer,179820,US,US,M
2023,SE,FT,Analytics Engineer,143860,US,US,M
2023,SE,FT,Machine Learning Engineer,283200,US,US,M
2023,SE,FT,Machine Learning Engineer,188800,US,US,M
2023,SE,FT,Analytics Engineer,289800,US,US,M
2023,SE,FT,Analytics Engineer,214200,US,US,M
2023,SE,FT,Data Engineer,185900,US,US,M
2023,SE,FT,Data Engineer,129300,US,US,M
2023,SE,FT,Data Engineer,252000,US,US,M
2023,SE,FT,Data Engineer,129000,US,US,M
2023,MI,FT,Data Analytics Manager,155000,US,US,M
2023,MI,FT,Data Analytics Manager,140000,US,US,M
2023,SE,FT,Data Engineer,161800,US,US,M
2023,SE,FT,Data Engineer,141600,US,US,M
2023,SE,FT,Machine Learning Engineer,342300,US,US,L
2023,SE,FT,Machine Learning Engineer,176100,US,US,L
2023,MI,FT,Data Engineer,100000,US,US,M
2023,MI,FT,Data Engineer,70000,US,US,M
2023,EN,FT,Data Engineer,85000,US,US,M
2023,EN,FT,Data Engineer,65000,US,US,M
2023,SE,FT,Data Scientist,138784,US,US,M
2023,SE,FT,Data Scientist,83270,US,US,M
2023,EN,FT,Data Analyst,75000,US,US,M
2023,EN,FT,Data Analyst,70000,US,US,M
2023,SE,FT,Data Analyst,204500,US,US,M
2023,SE,FT,Data Analyst,138900,US,US,M
2023,SE,FT,Machine Learning Engineer,318300,US,US,M
2023,SE,FT,Machine Learning Engineer,212200,US,US,M
2023,SE,FT,Data Engineer,95000,US,US,M
2023,SE,FT,Data Engineer,75000,US,US,M
2023,SE,FT,Data Scientist,195000,US,US,M
2023,SE,FT,Data Scientist,160000,US,US,M
2023,SE,FT,Analytics Engineer,230000,US,US,M
2023,SE,FT,Analytics Engineer,143200,US,US,M
2023,MI,FT,Data Engineer,100000,US,US,M
2023,MI,FT,Data Engineer,70000,US,US,M
2023,MI,FT,Business Data Analyst,105000,US,US,L
2023,MI,FT,Applied Data Scientist,20670,IN,IN,L
2023,MI,FT,Data Analyst,46178,GB,GB,M
2023,MI,FT,Data Analyst,42533,GB,GB,M
2023,SE,FT,Data Engineer,145000,US,US,M
2023,SE,FT,Data Engineer,115000,US,US,M
2023,SE,FT,Data Analyst,168400,US,US,M
2023,SE,FT,Data Analyst,105200,US,US,M
2023,SE,FT,Applied Scientist,309400,US,US,L
2023,SE,FT,Applied Scientist,159100,US,US,L
2023,SE,FT,Machine Learning Engineer,190000,US,US,M
2023,SE,FT,Machine Learning Engineer,150000,US,US,M
2023,MI,FT,Data Engineer,162500,US,US,M
2023,MI,FT,Data Engineer,130000,US,US,M
2023,SE,FT,Analytics Engineer,150000,US,US,M
2023,SE,FT,Analytics Engineer,120000,US,US,M
2023,SE,FT,Data Engineer,145000,US,US,M
2023,SE,FT,Data Engineer,120000,US,US,M
2023,SE,FT,Applied Scientist,222200,US,US,L
2023,SE,FT,Applied Scientist,136000,US,US,L
2023,SE,FT,Data Analyst,54685,CF,CF,M
2023,SE,FT,Data Analyst,42533,CF,CF,M
2023,SE,FT,Data Engineer,241000,US,US,M
2023,SE,FT,Data Engineer,155000,US,US,M
2023,SE,FT,Data Engineer,220000,US,US,M
2023,SE,FT,Data Engineer,190000,US,US,M
2023,MI,FT,Data Scientist,66837,GB,GB,M
2023,MI,FT,Data Scientist,54685,GB,GB,M
2020,EX,FT,Staff Data Analyst,15000,NG,CA,M
2023,MI,FT,ETL Engineer,85066,GB,GB,M
2023,MI,FT,ETL Engineer,57723,GB,GB,M
2023,EN,FT,Data Analyst,85000,US,US,M
2023,EN,FT,Data Analyst,75000,US,US,M
2023,SE,FT,Data Engineer,160000,US,US,M
2023,SE,FT,Data Engineer,140000,US,US,M
2023,MI,FT,Machine Learning Engineer,300000,US,US,M
2023,MI,FT,Machine Learning Engineer,250000,US,US,M
2023,SE,FT,Data Scientist,228000,US,US,M
2023,SE,FT,Data Scientist,186000,US,US,M
2023,SE,FT,Data Scientist,190000,US,US,M
2023,SE,FT,Data Scientist,170000,US,US,M
2023,MI,FT,Research Engineer,230000,US,US,M
2023,MI,FT,Research Engineer,200000,US,US,M
2023,SE,FT,Data Architect,180000,US,US,M
2023,SE,FT,Data Architect,115000,US,US,M
2023,SE,FT,Data Architect,200000,US,US,M
2023,SE,FT,Data Architect,115000,US,US,M
2023,SE,FT,Data DevOps Engineer,53654,FR,FR,S
2023,EX,FT,Data Engineer,220000,US,US,M
2023,EX,FT,Data Engineer,205000,US,US,M
